Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Earth (to the Sun),Pluto
5975290000000000,2952860000000000,4305610000000000,48621700000000000,98171000000000000,210256000000000000,336255000000000000,11370830000000000,330844000000000000
2952860000000000,1459240000000000,2127740000000000,24027800000000000,48514000000000000,103904000000000000,166170000000000000,5619220000000000,163496000000000000
4305610000000000,2127740000000000,3102490000000000,35035300000000000,70739000000000000,151504000000000000,242295000000000000,8193470000000000,238396000000000000
48621700000000000,24027800000000000,35035300000000000,395641000000000000,798830000000000000,1710880000000000000,2736150000000000000,92525900000000000,2692120000000000000
98171000000000000,48514000000000000,70739000000000000,798830000000000000,1612900000000000000,3454400000000000000,5524500000000000000,186817000000000000,5435600000000000000
210256000000000000,103904000000000000,151504000000000000,1710880000000000000,3454400000000000000,7398400000000000000,11832000000000000000,400112000000000000,11641600000000000000
336255000000000000,166170000000000000,242295000000000000,2736150000000000000,5524500000000000000,11832000000000000000,18922500000000000000,639885000000000000,18618000000000000000
11370830000000000,5619220000000000,8193470000000000,92525900000000000,186817000000000000,400112000000000000,639885000000000000,21638410000000000,629588000000000000
330844000000000000,163496000000000000,238396000000000000,2692120000000000000,5435600000000000000,11641600000000000000,18618000000000000000,629588000000000000,18318400000000000000
